x y z
1637.420810425157470 2383.074399300076948 4303.662380932688393
2053.405746531937439 4440.100174850729672 1565.483782400629025
1427.743347006487511 5014.461745065311334 4811.644280469225123
2586.226075889516324 1464.599642135630802 1921.748868308300189
3328.283279321031841 3805.958731459956653 4651.739153569778864
5066.492538215410605 1440.170486946927667 1320.098568075240564
4250.422415250023732 1672.119750208763435 4327.342733177620175
4438.023575374700158 3247.428894537815722 2662.718254949354559
4665.824328968914415 4996.538571652521568 1276.767507602971818
5080.579953931764067 5080.042140243991525 3792.941239007530385
